data;


set Foods :=
Anchovies
Apples
Asparagus
Beef
Baguettes
Beans
Beets
Bread-Loaves
Bread-Rolls
Cabbage
Cauliflower
Cereal
Cheese
Eggs
Garlic
Glucose
Grape-Nuts
Honey
Ice
Lemons
Lettuce
Nuts
Onions
Parsley
Pasta
Peaches
Peas
Pizza
Potatoes
Poultry
Rice
Spaghetti
Spinach
Strawberries
Sugar
Coffee
Milk-Dairy
Milk-Soy
Soft-Drinks
Water
Whiskey
Wine
;


set Nutrients :=
Calories
Fat
Saturates
Carbohydrates
Sugar
Protein
Salt
Fibre
;


set Days :=
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday
;


param training :=
Monday 1
Tuesday 1
Wednesday 1
Thursday 1
Friday 1
Saturday 1
Sunday 1
;


param costs :=
Anchovies 0.0392
Apples 0.10800000000000001
Asparagus 0.10815999999999999
Beef 0.18022500000000002
Baguettes 0.21
Beans 0.13252380952380952
Beets 0.08036
Bread-Loaves 0.012870000000000001
Bread-Rolls 0.075
Cabbage 0.48805
Cauliflower 0.31898113207547174
Cereal 0.028
Cheese 0.1686825
Eggs 0.07866666666666666
Garlic 0.22999999999999998
Glucose 0.08900000000000001
Grape-Nuts 0.5908620689655173
Honey 0.0525
Ice 0.1340787401574803
Lemons 0.1725
Lettuce 0.04777777777777777
Nuts 0.06520500000000001
Onions 0.15666666666666665
Parsley 0.07219999999999999
Pasta 0.016443
Peaches 0.3225
Peas 0.08125689084895259
Pizza 0.21337579617834396
Potatoes 0.18081
Poultry 0.6647333333333333
Rice 0.15725
Spaghetti 0.011340000000000001
Spinach 0.11933333333333333
Strawberries 0.40031999999999995
Sugar 0.0026000000000000003
Coffee 0.020849999999999997
Milk-Dairy 0.12004405286343613
Milk-Soy 0.1375
Soft-Drinks 0.0425
Water 0.02125
Whiskey 0.693642857142857
Wine 0.931
;


param amountCalories :=
Anchovies 8.4
Apples 95.0
Asparagus 3.2
Beef 78.8
Baguettes 335.0
Beans 265.7
Beets 35.3
Bread-Loaves 35.3
Bread-Rolls 161.0
Cabbage 227.0
Cauliflower 26.8
Cereal 100.0
Cheese 115.1
Eggs 71.5
Garlic 4.5
Glucose 15.0
Grape-Nuts 419.7
Honey 63.8
Ice 273.2
Lemons 24.4
Lettuce 5.4
Nuts 163.9
Onions 44.0
Parsley 1.4
Pasta 37.1
Peaches 58.5
Peas 103.2
Pizza 250.0
Potatoes 284.1
Poultry 141.6
Rice 684.5
Spaghetti 105.2
Spinach 6.9
Strawberries 46.1
Sugar 15.5
Coffee 10.6
Milk-Dairy 163.8
Milk-Soy 85.0
Soft-Drinks 10.0
Water 0.0
Whiskey 104.3
Wine 144.8
;


param amountFat :=
Anchovies 0.4
Apples 0.3
Asparagus 0.0
Beef 6.4
Baguettes 1.2
Beans 1.0
Beets 0.1
Bread-Loaves 0.1
Bread-Rolls 0.8
Cabbage 0.9
Cauliflower 0.3
Cereal 0.1
Cheese 9.6
Eggs 4.8
Garlic 0.0
Glucose 0.0
Grape-Nuts 2.4
Honey 0.0
Ice 14.5
Lemons 0.3
Lettuce 0.1
Nuts 13.8
Onions 0.1
Parsley 0.0
Pasta 0.3
Peaches 0.4
Peas 0.5
Pizza 7.1
Potatoes 0.3
Poultry 3.1
Rice 5.4
Spaghetti 0.4
Spinach 0.1
Strawberries 0.4
Sugar 0.0
Coffee 0.0
Milk-Dairy 9.4
